x1,x2,x3,x5,x4,y1,y2,y3,y4,y5,
0,0,0.2,0.2,0,43.9106,52.9106,52.911,43.911,43.9106,
0.2,0.2,0.4,0.4,0.2,43.911,52.911,52.9115,43.9115,43.911,
0.4,0.4,0.6,0.6,0.4,43.9115,52.9115,52.912,43.912,43.9115,
0.6,0.6,0.8,0.8,0.6,43.912,52.912,52.9124,43.9124,43.912,
0.8,0.8,1,1,0.8,43.9124,52.9124,52.9133,43.9133,43.9124,
1,1,1.2,1.2,1,43.9133,52.9133,52.9138,43.9138,43.9133,
1.2,1.2,1.4,1.4,1.2,43.9138,52.9138,52.9142,43.9142,43.9138,
1.4,1.4,1.6,1.6,1.4,43.9142,52.9142,52.9147,43.9147,43.9142,
1.6,1.6,1.8,1.8,1.6,43.9147,52.9147,52.9151,43.9151,43.9147,
1.8,1.8,2,2,1.8,43.9151,52.9151,52.9156,43.9156,43.9151,
2,2,2.2,2.2,2,43.9156,52.9156,52.9165,43.9165,43.9156,
2.2,2.2,2.4,2.4,2.2,43.9165,52.9165,52.9169,43.9169,43.9165,
2.4,2.4,2.6,2.6,2.4,43.9169,52.9169,52.9174,43.9174,43.9169,
2.6,2.6,2.8,2.8,2.6,43.9174,52.9174,52.9178,43.9178,43.9174,
2.8,2.8,3,3,2.8,43.9178,52.9178,52.9183,43.9183,43.9178,
3,3,3.2,3.2,3,43.9183,52.9183,52.9192,43.9192,43.9183,
3.2,3.2,3.4,3.4,3.2,43.9192,52.9192,52.9196,43.9196,43.9192,
3.4,3.4,3.6,3.6,3.4,43.9196,52.9196,52.9201,43.9201,43.9196,
3.6,3.6,3.8,3.8,3.6,43.9201,52.9201,52.9206,43.9206,43.9201,
3.8,3.8,4,4,3.8,43.9206,52.9206,52.921,43.921,43.9206,
4,4,4.2,4.2,4,43.921,52.921,52.9215,43.9215,43.921,
4.2,4.2,4.4,4.4,4.2,43.9215,52.9215,52.9224,43.9224,43.9215,
4.4,4.4,4.6,4.6,4.4,43.9224,52.9224,52.9228,43.9228,43.9224,
4.6,4.6,4.8,4.8,4.6,43.9228,52.9228,52.9233,43.9233,43.9228,
4.8,4.8,5,5,4.8,43.9233,52.9233,52.9237,43.9237,43.9233,
5,5,5.2,5.2,5,43.9237,52.9237,52.9242,43.9242,43.9237,
5.2,5.2,5.4,5.4,5.2,43.9242,52.9242,52.9251,43.9251,43.9242,
5.4,5.4,5.6,5.6,5.4,43.9251,52.9251,52.9255,43.9255,43.9251,
5.6,5.6,5.8,5.8,5.6,43.9255,52.9255,52.926,43.926,43.9255,
