s0,v0,a,t0,tf,opt,
19.253,4.68889,-4,0,1,0,
19.253,4.68889,-2.66667,0,1,0,
19.253,4.68889,-2,0,1,0,
19.253,4.68889,-1.33333,0,1,0,
19.253,4.68889,-0.666667,0,1,0,
19.253,4.68889,0,0,1,0,
19.253,4.68889,0.333333,0,1,0,
19.253,4.68889,0.666667,0,1,0,
19.253,4.68889,1,0,1,0,
19.253,4.68889,1.33333,0,1,0,
19.253,4.68889,1.66667,0,1,0,
19.253,4.68889,2,0,1,0,
21.9419,0.688886,-0.666667,1,1,0,
21.9419,0.688886,0.333333,1,1,0,
21.9419,0.688886,0.666667,1,1,0,
21.9419,0.688886,1,1,1,0,
21.9419,0.688886,1.33333,1,1,0,
21.9419,0.688886,1.66667,1,1,0,
21.9419,0.688886,2,1,1,0,
22.6085,2.02222,-2,1,1,0,
22.6085,2.02222,-0.666667,1,1,0,
22.9419,2.68889,-2.66667,1,1,0,
22.9419,2.68889,-2,1,1,0,
23.2752,3.35555,-3.33333,1,1,0,
22.6085,2.02222,0.666667,1,1,0,
23.2752,3.35555,-2.66667,1,1,0,
22.9419,2.68889,-0.666667,1,1,0,
23.2752,3.35555,-2,1,1,0,
22.9419,2.68889,0,1,1,0,
23.2752,3.35555,-1.33333,1,1,0,
22.9419,2.68889,0.666667,1,1,0,
23.2752,3.35555,-0.666667,1,1,0,
22.9419,2.68889,1.33333,1,1,0,
23.2752,3.35555,0,1,1,0,
23.9419,4.68889,-4,1,1,0,
23.2752,3.35555,0.666667,1,1,0,
23.6085,4.02222,-1.33333,1,1,0,
24.1085,5.02222,-4,1,1,0,
23.6085,4.02222,-0.666667,1,1,0,
24.1085,5.02222,-3.33333,1,1,0,
24.2752,5.35555,-4,1,1,0,
23.6085,4.02222,0.333333,1,1,0,
23.9419,4.68889,-1.33333,1,1,0,
24.4419,5.68889,-4,1,1,0,
23.9419,4.68889,-0.666667,1,1,0,
23.6085,4.02222,1.66667,1,1,0,
24.6085,6.02222,-4,1,1,0,
24.1085,5.02222,-0.666667,1,1,0,
23.9419,4.68889,0.666667,1,1,0,
24.4419,5.68889,-2,1,1,0,
24.6085,6.02222,-2.66667,1,1,0,
24.4419,5.68889,-1.33333,1,1,0,
24.6085,6.02222,-2,1,1,0,
24.2752,5.35555,0.333333,1,1,0,
24.9419,6.68889,-3.33333,1,1,0,
24.7752,6.35555,-2,1,1,0,
24.4419,5.68889,0.333333,1,1,0,
24.7752,6.35555,-1.33333,1,1,0,
24.9419,6.68889,-2,1,1,0,
24.4419,5.68889,1.33333,1,1,0,
24.9419,6.68889,-1.33333,1,1,0,
24.4419,5.68889,2,1,1,0,
24.9419,6.68889,-0.666667,1,1,0,
24.6085,6.02222,1.66667,1,1,0,
24.9419,6.68889,0,1,1,0,
24.9419,6.68889,0.333333,1,1,0,
24.9419,6.68889,0.666667,1,1,0,
24.7752,6.35555,2,1,1,0,
24.9419,6.68889,1.66667,1,1,0,
24.9419,6.68889,2,1,1,0,
22.2974,0.0222192,0,2,1,0,
22.2974,0.0222192,1,2,1,0,
22.2974,0.0222192,1.66667,2,1,0,
22.7974,1.02222,-0.666667,2,1,0,
23.6307,0.0222192,0,2,1,0,
22.9641,1.35555,-0.666667,2,1,0,
23.2974,2.02222,-2,2,1,0,
23.2974,2.02222,-1.33333,2,1,0,
22.9641,1.35555,1.33333,2,1,0,
22.9641,1.35555,2,2,1,0,
23.6307,2.68889,-1.33333,2,1,0,
25.2974,0.688886,0,2,1,0,
25.2974,0.688886,0.666667,2,1,0,
25.2974,2.02222,-1.33333,2,1,0,
25.6307,1.35555,0,2,1,0,
25.6307,1.35555,0.666667,2,1,0,
25.9641,3.35555,-3.33333,2,1,0,
25.6307,1.35555,2,2,1,0,
25.9641,3.35555,-2,2,1,0,
25.9641,3.35555,-1.33333,2,1,0,
26.9641,4.02222,-4,2,1,0,
26.6307,3.35555,-1.33333,2,1,0,
26.9641,4.02222,-2.66667,2,1,0,
26.2974,2.68889,2,2,1,0,
25.9641,3.35555,2,2,1,0,
26.6307,3.35555,1.33333,2,1,0,
28.6307,2.02222,0.666667,2,1,0,
27.9641,3.35555,0,2,1,0,
27.9641,3.35555,0.666667,2,1,0,
29.9641,3.35555,-2.66667,2,1,0,
27.9641,3.35555,2,2,1,0,
29.6307,4.02222,-2,2,1,0,
28.9641,5.35555,-2.66667,2,1,0,
29.6307,4.02222,-0.666667,2,1,0,
29.6307,4.02222,0,2,1,0,
28.9641,5.35555,-0.666667,2,1,0,
30.2974,6.02222,-4,2,1,0,
30.1307,4.35555,0.333333,2,1,0,
30.6307,4.68889,-0.666667,2,1,0,
28.9641,5.35555,2,2,1,0,
29.7974,5.68889,0.333333,2,1,0,
30.2974,6.02222,-0.666667,2,1,0,
30.9641,5.35555,0,2,1,0,
30.9641,5.35555,0.666667,2,1,0,
30.2974,6.02222,1.33333,2,1,0,
31.2974,6.02222,0,2,1,0,
31.2974,6.02222,0.666667,2,1,0,
31.2974,6.02222,1.33333,2,1,0,
31.9641,7.35555,-2,2,1,0,
31.6307,6.68889,0.666667,2,1,0,
31.7974,7.02222,0.333333,2,1,0,
31.4641,7.68889,0.333333,2,1,0,
31.4641,7.68889,1,2,1,0,
31.9641,7.35555,1.33333,2,1,0,
31.9641,7.35555,2,2,1,0,
32.1307,8.35555,0.333333,2,1,0,
32.1307,8.35555,1,2,1,0,
32.4641,8.35555,1,2,1,0,
32.4641,8.35555,1.66667,2,1,0,
32.6307,8.68889,1.66667,2,1,0,
22.3196,0.0222192,0,3,1,0,
22.3196,0.0222192,1,3,1,0,
22.3196,0.0222192,1.66667,3,1,0,
22.8196,1.02222,-0.666667,3,1,0,
23.4863,0.355552,0,3,1,0,
22.8196,1.02222,0.333333,3,1,0,
23.653,0.0222192,1.33333,3,1,0,
23.4863,0.355552,1.66667,3,1,0,
24.3196,0.0222192,1.33333,3,1,0,
24.3196,0.0222192,2,3,1,0,
23.153,1.68889,1.66667,3,1,0,
24.653,0.688886,1.66667,3,1,0,
24.653,0.688886,2,3,1,0,
25.9863,0.688886,0,3,1,0,
26.3196,1.35555,-1.33333,3,1,0,
25.653,1.35555,0.666667,3,1,0,
26.3196,1.35555,0,3,1,0,
25.3196,3.35555,-1.33333,3,1,0,
26.3196,1.35555,1.33333,3,1,0,
27.3196,2.02222,-1.33333,3,1,0,
25.3196,3.35555,0.666667,3,1,0,
25.3196,3.35555,1.33333,3,1,0,
27.3196,2.02222,0.666667,3,1,0,
28.9863,0.0222192,2,3,1,0,
27.3196,2.02222,2,3,1,0,
28.3196,1.35555,2,3,1,0,
29.653,1.35555,0,3,1,0,
29.3196,2.02222,0,3,1,0,
29.3196,2.02222,0.666667,3,1,0,
29.3196,2.02222,1.33333,3,1,0,
27.9863,3.35555,2,3,1,0,
29.9863,4.68889,-4,3,1,0,
30.9863,2.68889,-1.33333,3,1,0,
29.9863,4.68889,-2.66667,3,1,0,
30.9863,2.68889,0,3,1,0,
30.9863,2.68889,0.666667,3,1,0,
32.9863,2.68889,-2.66667,3,1,0,
30.3196,5.35555,-2,3,1,0,
32.9863,2.68889,-1.33333,3,1,0,
32.9863,2.68889,-0.666667,3,1,0,
32.9863,2.68889,0,3,1,0,
30.3196,5.35555,0.666667,3,1,0,
30.3196,5.35555,1.33333,3,1,0,
30.3196,5.35555,2,3,1,0,
33.9863,4.68889,-3.33333,3,1,0,
33.9863,4.68889,-2.66667,3,1,0,
34.9863,4.02222,-2.66667,3,1,0,
33.9863,4.68889,-1.33333,3,1,0,
33.9863,4.68889,-0.666667,3,1,0,
34.653,4.68889,-1.33333,3,1,0,
33.9863,4.68889,0.666667,3,1,0,
34.653,4.68889,0,3,1,0,
33.9863,4.68889,2,3,1,0,
35.9863,5.35555,-2.66667,3,1,0,
34.653,4.68889,2,3,1,0,
36.653,6.02222,-4,3,1,0,
35.653,6.02222,-1.33333,3,1,0,
35.9863,5.35555,0,3,1,0,
35.9863,5.35555,0.666667,3,1,0,
35.9863,5.35555,1.33333,3,1,0,
36.9863,7.35555,-4,3,1,0,
37.653,6.68889,-3.33333,3,1,0,
36.9863,7.35555,-2.66667,3,1,0,
35.3196,7.35555,1.33333,3,1,0,
36.653,6.02222,2,3,1,0,
37.653,6.68889,-0.666667,3,1,0,
36.9863,7.35555,0,3,1,0,
36.9863,7.35555,0.666667,3,1,0,
37.653,6.68889,1.33333,3,1,0,
37.653,6.68889,2,3,1,0,
37.9863,7.35555,0.666667,3,1,0,
37.9863,7.35555,1.33333,3,1,0,
37.9863,7.35555,2,3,1,0,
39.3196,8.02222,-1.33333,3,1,0,
39.9863,8.68889,-3.33333,3,1,0,
39.3196,8.02222,0,3,1,0,
39.9863,8.68889,-2,3,1,0,
39.653,8.68889,-0.666667,3,1,0,
39.3196,8.02222,2,3,1,0,
40.653,8.68889,-1.33333,3,1,0,
40.9863,9.35555,-2.66667,3,1,0,
40.9863,9.35555,-2,3,1,0,
40.3196,9.35555,0,3,1,0,
40.653,8.68889,1.33333,3,1,0,
41.653,10.0222,-2.66667,3,1,0,
40.9863,9.35555,0.666667,3,1,0,
41.3196,9.35555,0.666667,3,1,0,
40.9863,9.35555,2,3,1,0,
41.3196,9.35555,2,3,1,0,
42.153,10.3556,-0.666667,3,1,0,
42.153,10.3556,0,3,1,0,
41.653,10.0222,2,3,1,0,
42.153,10.3556,1.33333,3,1,0,
42.153,10.3556,2,3,1,0,
22.3418,0.0222192,0,4,1,0,
22.3418,0.0222192,1,4,1,0,
22.3418,0.0222192,1.66667,4,1,0,
22.8418,1.02222,-0.666667,4,1,0,
22.8418,1.02222,0.333333,4,1,0,
23.8418,0.355552,0.333333,4,1,0,
23.8418,0.355552,1,4,1,0,
23.8418,0.355552,1.66667,4,1,0,
24.3418,1.35555,-0.666667,4,1,0,
24.0085,1.35555,0.666667,4,1,0,
24.3418,1.35555,0.666667,4,1,0,
25.3418,2.02222,-2,4,1,0,
25.0085,1.35555,0.666667,4,1,0,
27.0085,0.0222192,0,4,1,0,
27.0085,0.0222192,0.666667,4,1,0,
27.0085,0.0222192,1.33333,4,1,0,
27.0085,0.0222192,2,4,1,0,
25.6752,3.35555,-1.33333,4,1,0,
27.3418,2.02222,-1.33333,4,1,0,
28.0085,2.02222,-2,4,1,0,
28.0085,2.02222,-1.33333,4,1,0,
28.6752,0.688886,0.666667,4,1,0,
28.0085,2.02222,0,4,1,0,
28.0085,2.02222,0.666667,4,1,0,
28.0085,2.02222,1.33333,4,1,0,
29.6752,2.68889,-2.66667,4,1,0,
29.6752,2.68889,-2,4,1,0,
29.6752,2.68889,-1.33333,4,1,0,
29.6752,2.68889,-0.666667,4,1,0,
29.6752,2.68889,0,4,1,0,
30.0085,2.02222,1.33333,4,1,0,
30.3418,4.02222,-2.66667,4,1,0,
29.6752,2.68889,2,4,1,0,
29.3418,4.68889,-0.666667,4,1,0,
31.6752,2.68889,-0.666667,4,1,0,
30.3418,4.02222,0,4,1,0,
34.3418,0.0222192,0.666667,4,1,0,
30.3418,4.02222,1.33333,4,1,0,
33.6752,2.68889,-2,4,1,0,
33.6752,2.68889,-1.33333,4,1,0,
33.3418,2.02222,1.33333,4,1,0,
35.3418,2.02222,-2,4,1,0,
34.6752,3.35555,-2.66667,4,1,0,
35.3418,2.02222,-0.666667,4,1,0,
33.6752,2.68889,2,4,1,0,
35.3418,2.02222,0.666667,4,1,0,
35.6752,2.68889,-0.666667,4,1,0,
35.6752,2.68889,0,4,1,0,
37.6752,1.35555,-0.666667,4,1,0,
37.3418,2.02222,-0.666667,4,1,0,
35.6752,2.68889,2,4,1,0,
37.6752,1.35555,1.33333,4,1,0,
37.3418,2.02222,1.33333,4,1,0,
38.3418,4.02222,-4,4,1,0,
38.3418,4.02222,-3.33333,4,1,0,
36.3418,6.68889,-4,4,1,0,
40.0085,2.68889,-2.66667,4,1,0,
36.0085,6.02222,-0.666667,4,1,0,
38.3418,4.02222,-0.666667,4,1,0,
36.3418,6.68889,-1.33333,4,1,0,
36.3418,6.68889,-0.666667,4,1,0,
39.3418,4.68889,-2,4,1,0,
40.0085,2.68889,1.33333,4,1,0,
39.3418,4.68889,-0.666667,4,1,0,
39.3418,4.68889,0,4,1,0,
39.3418,4.68889,0.666667,4,1,0,
39.6752,6.68889,-3.33333,4,1,0,
39.6752,6.68889,-2.66667,4,1,0,
39.6752,6.68889,-2,4,1,0,
41.0085,4.68889,0,4,1,0,
40.3418,6.68889,-2,4,1,0,
40.3418,6.68889,-1.33333,4,1,0,
43.0085,4.68889,-2,4,1,0,
39.6752,6.68889,1.33333,4,1,0,
39.6752,6.68889,2,4,1,0,
43.0085,4.68889,0,4,1,0,
42.0085,6.68889,-1.33333,4,1,0,
43.0085,4.68889,1.33333,4,1,0,
44.0085,6.02222,-2.66667,4,1,0,
44.0085,6.02222,-2,4,1,0,
44.0085,6.02222,-1.33333,4,1,0,
44.0085,6.02222,-0.666667,4,1,0,
43.3418,8.68889,-4,4,1,0,
44.0085,6.02222,0.666667,4,1,0,
43.3418,8.68889,-2.66667,4,1,0,
43.3418,8.68889,-2,4,1,0,
43.3418,8.68889,-1.33333,4,1,0,
45.0085,8.02222,-2.66667,4,1,0,
45.3418,8.68889,-4,4,1,0,
44.6752,8.02222,-0.666667,4,1,0,
45.3418,8.68889,-2.66667,4,1,0,
46.0085,8.68889,-3.33333,4,1,0,
46.0085,8.68889,-2.66667,4,1,0,
45.0085,8.02222,1.33333,4,1,0,
45.0085,8.02222,2,4,1,0,
45.3418,8.68889,0.666667,4,1,0,
45.3418,8.68889,1.33333,4,1,0,
46.0085,8.68889,0.666667,4,1,0,
46.0085,8.68889,1.33333,4,1,0,
46.0085,8.68889,2,4,1,0,
46.3418,9.35555,0.666667,4,1,0,
46.3418,9.35555,1.33333,4,1,0,
46.3418,9.35555,2,4,1,0,
48.0085,8.02222,2,4,1,0,
49.3418,7.35555,1.33333,4,1,0,
49.3418,7.35555,2,4,1,0,
50.0085,10.0222,-4,4,1,0,
50.0085,10.0222,-3.33333,4,1,0,
48.3418,10.0222,0.666667,4,1,0,
50.0085,10.0222,-2,4,1,0,
50.6752,10.0222,-2.66667,4,1,0,
49.6752,9.35555,1.33333,4,1,0,
49.6752,9.35555,2,4,1,0,
50.6752,10.0222,-0.666667,4,1,0,
51.3418,11.3556,-4,4,1,0,
51.0085,10.0222,0,4,1,0,
51.3418,11.3556,-2.66667,4,1,0,
